('XRDFED_CMS-EU-BARI', ' is up ', True)
('XRDFED_CMS-TRANSIT01', ' is up ', True)
('XRDFED_CMS-US-FNAL', ' is up ', True)
('XRDFED_CMS-GLOBAL01', ' is up ', True)
('XRDFED_CMS-GLOBAL02', ' is up ', True)
('XRDFED_CMS-TRANSIT', ' is up ', True)
('XRDFED_CMS-US-UNL', ' is up ', True)
('XRDFED_CMS-EU-PISA', ' is up ', True)
('XRDFED_CMS-US', ' is up ', True)
('XRDFED_CMS-EU-LLR', ' is up ', True)
('XRDFED_CMS-EU-IPv6', ' is up ', True)
('XRDFED_CMS-EU', ' is up ', True)
('XRDFED_CMS-GLOBAL', ' is up ', True)
('XRDFED_CMS-TRANSIT02', ' is up ', True)
Check  /var/www/html/aaa-probe/KIBANA_PROBES_GENERAL.json
